system,entry_time,exit_time,side,entry_price,exit_price,pnl,reason
Layer I,2026-03-19 00:35:00,2026-03-19 01:00:00,SHORT,24906.0,24917.0,-220.0,signal_invalidated
OTE+BOS,2026-03-19 02:20:00,2026-03-19 02:45:00,SHORT,24908.5,24879.11,587.86,be_stop
Layer I,2026-03-19 03:35:00,2026-03-19 03:50:00,SHORT,24827.25,24859.23,-639.64,stop
Layer I,2026-03-19 06:35:00,2026-03-19 06:45:00,SHORT,24812.5,24813.75,-25.0,signal_invalidated
Layer I,2026-03-20 00:05:00,2026-03-20 00:15:00,SHORT,24872.5,24882.5,-200.0,stop
OTE+BOS,2026-03-20 01:15:00,2026-03-20 01:50:00,SHORT,24878.25,24829.45,975.92,target
Layer I,2026-03-20 01:30:00,2026-03-20 01:50:00,SHORT,24868.0,24835.5,650.0,target
Layer I,2026-03-20 02:00:00,2026-03-20 02:10:00,SHORT,24793.5,24811.29,-355.71,stop
Layer I,2026-03-20 04:15:00,2026-03-20 04:40:00,SHORT,24817.0,24784.5,650.0,target
OTE+BOS,2026-03-20 04:30:00,2026-03-20 04:40:00,LONG,24811.75,24782.88,-577.5,stop
Layer I,2026-03-20 04:50:00,2026-03-20 05:00:00,SHORT,24714.25,24681.75,650.0,target
Layer I,2026-03-20 05:20:00,2026-03-20 05:30:00,SHORT,24648.25,24682.91,-693.21,stop
Layer I,2026-03-22 18:50:00,2026-03-22 18:55:00,SHORT,24280.5,24305.84,-506.79,stop
Layer I,2026-03-22 21:45:00,2026-03-22 22:00:00,SHORT,24302.75,24325.09,-446.79,stop
Layer I,2026-03-22 22:20:00,2026-03-22 22:55:00,SHORT,24289.5,24257.0,650.0,target
Layer I,2026-03-22 23:05:00,2026-03-22 23:15:00,SHORT,24258.75,24278.5,-395.0,stop
Layer I,2026-03-23 00:45:00,2026-03-23 00:55:00,SHORT,24247.5,24271.64,-482.86,stop
Layer I,2026-03-23 01:15:00,2026-03-23 01:35:00,SHORT,24231.5,24199.0,650.0,target
Layer I,2026-03-23 01:45:00,2026-03-23 01:55:00,SHORT,24175.25,24142.75,650.0,target
Layer I,2026-03-23 02:05:00,2026-03-23 02:10:00,SHORT,24184.5,24213.05,-571.07,stop
Layer I,2026-03-23 04:45:00,2026-03-23 05:05:00,SHORT,24173.5,24207.0,-670.0,stop
