entry_time,exit_time,side,entry_price,exit_price,pnl,reason,system
2025-08-05 07:05:00,2025-08-05 07:15:00,LONG,23620.0,23612.41,-151.79,stop,Layer I
2025-08-05 08:55:00,2025-08-05 09:20:00,SHORT,23562.25,23564.75,-50.0,signal_invalidated,Layer I
2025-08-05 11:40:00,2025-08-05 11:45:00,SHORT,23604.25,23614.64,-207.86,stop,OTE+BOS
2025-08-05 11:45:00,2025-08-05 11:50:00,LONG,23622.25,23611.82,-208.57,stop,Layer I
2025-08-06 00:35:00,2025-08-06 01:30:00,SHORT,23310.5,23317.5,-140.0,signal_invalidated,Layer I
2025-08-06 01:30:00,2025-08-06 01:55:00,LONG,23317.5,23357.58,801.6,target,OTE+BOS
2025-08-06 02:10:00,2025-08-06 03:55:00,LONG,23362.25,23394.75,650.0,target,Layer I
2025-08-06 05:35:00,2025-08-06 08:05:00,LONG,23415.0,23447.5,650.0,target,Layer I
2025-08-06 10:05:00,2025-08-06 10:10:00,SHORT,23353.0,23367.02,-280.36,stop,Layer I
2025-08-06 10:30:00,2025-08-06 11:00:00,SHORT,23364.5,23348.65,316.96,be_stop,Layer I
2025-08-06 14:25:00,2025-08-06 15:20:00,LONG,23419.0,23538.71,2394.24,target,OTE+BOS
2025-08-06 15:20:00,2025-08-06 15:45:00,LONG,23543.25,23575.75,650.0,target,Layer I
2025-08-06 17:55:00,2025-08-06 18:05:00,LONG,23598.25,23630.41,643.13,target,OTE+BOS
2025-08-07 00:25:00,2025-08-07 01:50:00,LONG,23715.0,23732.57,351.43,be_stop,Layer I
2025-08-07 03:05:00,2025-08-07 04:30:00,LONG,23721.25,23714.25,-140.0,stop,Layer I
2025-08-07 05:05:00,2025-08-07 05:25:00,SHORT,23688.5,23696.25,-155.0,stop,Layer I
2025-08-07 06:05:00,2025-08-07 07:15:00,SHORT,23715.5,23721.93,-128.57,stop,OTE+BOS
2025-08-07 08:00:00,2025-08-07 08:25:00,LONG,23750.0,23782.5,650.0,target,Layer I
2025-08-07 09:45:00,2025-08-07 10:30:00,LONG,23822.0,23834.5,250.0,be_stop,Layer I
2025-08-07 10:50:00,2025-08-07 11:30:00,LONG,23853.25,23843.61,-192.86,stop,Layer I
2025-08-08 00:30:00,2025-08-08 04:00:00,LONG,23800.0,23786.5,-270.0,stop,Layer I
2025-08-08 05:35:00,2025-08-08 06:15:00,SHORT,23776.75,23764.25,250.0,be_stop,Layer I
2025-08-08 13:35:00,2025-08-08 13:45:00,LONG,23806.25,23852.21,919.14,target,OTE+BOS
2025-08-08 14:05:00,2025-08-08 14:10:00,LONG,23898.0,23879.46,-370.71,stop,Layer I
2025-08-08 14:30:00,2025-08-08 14:55:00,LONG,23928.5,23906.61,-437.86,stop,Layer I
2025-08-08 16:50:00,2025-08-08 16:55:00,LONG,23930.0,23917.18,-256.43,stop,Layer I
2025-08-08 20:00:00,2025-08-10 22:00:00,LONG,23965.0,23998.06,661.25,be_stop,OTE+BOS
2025-08-11 02:20:00,2025-08-11 02:25:00,LONG,24007.25,24000.36,-137.86,stop,Layer I
2025-08-11 03:45:00,2025-08-11 07:05:00,SHORT,23988.0,23996.41,-168.21,stop,OTE+BOS
2025-08-11 08:00:00,2025-08-11 09:20:00,SHORT,23935.25,23945.64,-207.86,stop,Layer I
2025-08-11 14:00:00,2025-08-11 14:10:00,SHORT,23961.0,23976.61,-312.14,stop,OTE+BOS
2025-08-11 16:10:00,2025-08-11 16:35:00,LONG,24021.75,24007.5,-285.0,stop,Layer I
2025-08-12 04:50:00,2025-08-12 05:00:00,LONG,23904.5,23897.04,-149.29,stop,Layer I
2025-08-12 12:35:00,2025-08-12 13:00:00,LONG,24027.5,24000.86,-532.86,stop,Layer I
2025-08-12 15:05:00,2025-08-12 15:15:00,LONG,24043.0,24075.5,650.0,target,Layer I
2025-08-12 15:25:00,2025-08-12 15:55:00,LONG,24063.0,24095.5,650.0,target,Layer I
2025-08-12 16:10:00,2025-08-12 16:45:00,LONG,24090.0,24122.5,650.0,target,Layer I
2025-08-12 16:55:00,2025-08-12 17:30:00,LONG,24136.25,24126.77,-189.64,stop,Layer I
2025-08-13 04:40:00,2025-08-13 05:25:00,LONG,24197.5,24190.0,-150.0,signal_invalidated,Layer I
2025-08-13 07:25:00,2025-08-13 08:55:00,LONG,24221.25,24233.75,250.0,be_stop,Layer I
2025-08-13 12:40:00,2025-08-13 13:35:00,LONG,24259.75,24292.25,650.0,target,Layer I
2025-08-13 13:45:00,2025-08-13 13:55:00,LONG,24273.0,24264.27,-174.64,stop,Layer I
2025-08-13 14:15:00,2025-08-13 14:25:00,LONG,24233.75,24217.59,-323.21,stop,OTE+BOS
2025-08-13 15:00:00,2025-08-13 15:40:00,SHORT,24164.5,24186.43,-438.57,stop,Layer I
2025-08-13 23:35:00,2025-08-14 00:40:00,LONG,24186.0,24177.66,-166.79,stop,Layer I
2025-08-14 05:45:00,2025-08-14 07:05:00,SHORT,24147.75,24154.05,-126.07,stop,Layer I
2025-08-14 12:10:00,2025-08-14 12:30:00,LONG,24195.0,24187.45,-151.07,stop,Layer I
2025-08-14 12:30:00,2025-08-14 12:45:00,SHORT,24062.0,24079.61,-352.14,stop,OTE+BOS
2025-08-15 00:10:00,2025-08-15 00:30:00,SHORT,24110.0,24122.07,-241.43,stop,Layer I
2025-08-15 03:55:00,2025-08-15 05:30:00,LONG,24161.75,24160.25,-30.0,signal_invalidated,Layer I
2025-08-15 07:10:00,2025-08-15 07:45:00,LONG,24183.5,24176.64,-137.14,stop,Layer I
2025-08-17 22:25:00,2025-08-18 03:30:00,LONG,24084.75,24105.55,416.07,be_stop,Layer I
2025-08-18 07:25:00,2025-08-18 08:40:00,SHORT,24044.75,24032.25,250.0,be_stop,Layer I
2025-08-18 09:05:00,2025-08-18 11:55:00,SHORT,24004.25,24015.25,-220.0,signal_invalidated,Layer I
2025-08-18 13:35:00,2025-08-18 13:40:00,LONG,24036.0,24023.75,-245.0,stop,Layer I
2025-08-18 14:00:00,2025-08-18 14:30:00,LONG,24021.0,23999.93,-421.43,stop,OTE+BOS
2025-08-18 19:05:00,2025-08-18 19:45:00,LONG,24040.0,24039.0,-20.0,signal_invalidated,Layer I
2025-08-19 03:45:00,2025-08-19 07:50:00,SHORT,23990.75,24002.05,-226.07,stop,Layer I
2025-08-19 10:00:00,2025-08-19 13:30:00,SHORT,24018.0,23978.51,789.72,target,OTE+BOS
2025-08-19 10:00:00,2025-08-19 13:30:00,SHORT,24018.0,23978.51,789.72,target,OTE+BOS
2025-08-19 13:30:00,2025-08-19 13:35:00,SHORT,23902.0,23917.8,-316.07,stop,OTE+BOS
2025-08-19 13:30:00,2025-08-19 13:35:00,SHORT,23902.0,23917.8,-316.07,stop,Layer I
2025-08-19 13:55:00,2025-08-19 14:00:00,SHORT,23922.0,23947.46,-509.29,stop,Layer I
