strategy,entry_time,exit_time,side,entry_price,stop_price,target_price,exit_reason,pnl_points,pnl_dollars_1x,result,entry_price_nq,exit_price_nq,entry_price_es,exit_price_es,hedge_ratio
FVG Rejection,2025-08-04 23:25:00+00:00,2025-08-05 06:40:00+00:00,LONG,23551.5,23541.0,23604.0,TARGET,52.5,1046.0,WIN,,,,,
FVG Rejection,2025-08-04 23:40:00+00:00,2025-08-05 00:45:00+00:00,SHORT,23553.0,23560.25,23516.75,STOP,-7.25,-149.0,LOSS,,,,,
FVG Rejection,2025-08-05 00:00:00+00:00,2025-08-05 00:45:00+00:00,SHORT,23551.75,23572.0,23450.5,STOP,-20.25,-409.0,LOSS,,,,,
FVG Rejection,2025-08-05 00:50:00+00:00,2025-08-05 08:10:00+00:00,LONG,23587.0,23548.0,23782.0,STOP,-39.0,-784.0,LOSS,,,,,
FVG Rejection,2025-08-05 01:15:00+00:00,2025-08-05 14:15:00+00:00,LONG,23578.0,23545.0,23743.0,STOP,-33.0,-664.0,LOSS,,,,,
FVG Rejection,2025-08-05 01:35:00+00:00,2025-08-05 05:50:00+00:00,SHORT,23573.0,23592.0,23478.0,STOP,-19.0,-384.0,LOSS,,,,,
FVG Rejection,2025-08-05 01:50:00+00:00,2025-08-05 06:40:00+00:00,SHORT,23580.0,23605.5,23452.5,STOP,-25.5,-514.0,LOSS,,,,,
FVG Rejection,2025-08-05 02:00:00+00:00,2025-08-05 03:35:00+00:00,SHORT,23568.25,23579.5,23512.0,STOP,-11.25,-229.0,LOSS,,,,,
FVG Rejection,2025-08-05 02:30:00+00:00,2025-08-05 06:40:00+00:00,LONG,23570.0,23564.0,23600.0,TARGET,30.0,596.0,WIN,,,,,
FVG Rejection,2025-08-05 02:30:00+00:00,2025-08-05 04:55:00+00:00,SHORT,23570.0,23585.0,23495.0,STOP,-15.0,-304.0,LOSS,,,,,
FVG Rejection,2025-08-05 03:35:00+00:00,2025-08-05 04:00:00+00:00,LONG,23577.75,23568.0,23626.5,STOP,-9.75,-199.0,LOSS,,,,,
FVG Rejection,2025-08-05 03:55:00+00:00,2025-08-05 06:40:00+00:00,LONG,23570.0,23563.25,23603.75,TARGET,33.75,671.0,WIN,,,,,
FVG Rejection,2025-08-05 03:55:00+00:00,2025-08-05 06:40:00+00:00,LONG,23570.0,23560.75,23616.25,TARGET,46.25,921.0,WIN,,,,,
FVG Rejection,2025-08-05 04:30:00+00:00,2025-08-05 04:55:00+00:00,SHORT,23577.0,23582.75,23548.25,STOP,-5.75,-119.0,LOSS,,,,,
FVG Rejection,2025-08-05 04:30:00+00:00,2025-08-05 07:45:00+00:00,LONG,23577.0,23565.0,23637.0,STOP,-12.0,-244.0,LOSS,,,,,
FVG Rejection,2025-08-05 04:30:00+00:00,2025-08-05 04:55:00+00:00,SHORT,23577.0,23587.25,23525.75,STOP,-10.25,-209.0,LOSS,,,,,
FVG Rejection,2025-08-05 07:15:00+00:00,2025-08-05 07:25:00+00:00,LONG,23602.0,23589.75,23663.25,STOP,-12.25,-249.0,LOSS,,,,,
FVG Rejection,2025-08-05 07:15:00+00:00,2025-08-05 07:30:00+00:00,LONG,23602.0,23585.25,23685.75,STOP,-16.75,-339.0,LOSS,,,,,
