strategy,entry_time,exit_time,side,entry_price,stop_price,target_price,exit_reason,pnl_points,pnl_dollars_1x,result,entry_price_nq,exit_price_nq,entry_price_es,exit_price_es,hedge_ratio,pnl_dollars_3x,pnl_dollars_5x
"FVG Rejection (1.2R, WR-optimized)",2025-08-04 23:25:00+00:00,,LONG,23551.5,23541.0,23564.1,,,248.0,WIN,,,,,,744.0,1240.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-04 23:40:00+00:00,,SHORT,23553.0,23560.25,23544.3,,,-149.0,LOSS,,,,,,-447.0,-745.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 00:00:00+00:00,,SHORT,23551.75,23572.0,23527.45,,,-409.0,LOSS,,,,,,-1227.0,-2045.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 00:50:00+00:00,,LONG,23587.0,23548.0,23633.8,,,-784.0,LOSS,,,,,,-2352.0,-3920.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 01:15:00+00:00,,LONG,23578.0,23545.0,23617.6,,,788.0,WIN,,,,,,2364.0,3940.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 01:35:00+00:00,,SHORT,23573.0,23592.0,23550.2,,,-384.0,LOSS,,,,,,-1152.0,-1920.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 01:50:00+00:00,,SHORT,23580.0,23605.5,23549.4,,,-514.0,LOSS,,,,,,-1542.0,-2570.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 02:00:00+00:00,,SHORT,23568.25,23579.5,23554.75,,,-229.0,LOSS,,,,,,-687.0,-1145.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 02:30:00+00:00,,LONG,23570.0,23564.0,23577.2,,,140.0,WIN,,,,,,420.0,700.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 02:30:00+00:00,,SHORT,23570.0,23585.0,23552.0,,,-304.0,LOSS,,,,,,-912.0,-1520.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 03:35:00+00:00,,LONG,23577.75,23568.0,23589.45,,,-199.0,LOSS,,,,,,-597.0,-995.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 03:55:00+00:00,,LONG,23570.0,23563.25,23578.1,,,158.0,WIN,,,,,,474.0,790.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 03:55:00+00:00,,LONG,23570.0,23560.75,23581.1,,,218.0,WIN,,,,,,654.0,1090.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 04:30:00+00:00,,SHORT,23577.0,23587.25,23564.7,,,-209.0,LOSS,,,,,,-627.0,-1045.0
